time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
73.484341227848,664.49610414476,885.01873386882,1117.8104343261,885.00438611776,1117.8066138642,673.14326071893,1.1984882199606e-10,7571248.9110299,3.0429172916237,3.1966316702727,233935000,1117.79365069,0.063468903174781,1.9519173914591e+18,261897.09667839,7833146.0077083
76.680972898121,664.49597395905,885.01790770781,1117.8101429807,885.00356156804,1117.8063225806,673.14306820701,1.1984882199606e-10,7534130.4968334,3.1966316702727,3.35811100207,233935000,1117.7933678016,0.062924344546662,1.9519173914591e+18,241323.44740697,7775453.9442404
80.039083900191,664.74056384901,885.3564079685,1117.8982909578,885.34426558182,1117.8950605093,673.24096345479,1.1984882199606e-10,7418914.3416179,3.35811100207,3.5277475372261,233935000,1117.8840228012,0.061765939651245,1.9519173914591e+18,221572.75355486,7640487.0951727
83.566831437417,664.74041567409,885.35549118262,1117.897967793,885.34335026963,1117.8947374019,673.24074975373,1.1984882199606e-10,7381605.611675,3.5277475372261,3.705953340653,233935000,1117.8837089956,0.061243297824532,1.9519173914591e+18,202940.95138137,7584546.5630564
87.27278477807,664.99472626093,885.72004974615,1117.9920528063,885.70989857472,1117.9893546569,673.3462950573,1.1984882199606e-10,7266019.7933886,3.705953340653,3.8931612929128,233935000,1117.9800485377,0.060106078213613,1.9519173914591e+18,185175.53666788,7451195.3300565
91.165946070983,664.99455831922,885.71903577491,1117.9916954605,885.70888593409,1117.9889973635,673.34605868032,1.1984882199606e-10,7228675.3707808,3.8931612929128,4.0898261417301,233935000,1117.9797016208,0.05960732229092,1.9519173914591e+18,168545.25559939,7397220.6263802
95.255772212713,665.25849982168,886.11144665843,1118.0920241799,886.10306684648,1118.089799154,673.45981465261,1.1984882199606e-10,7113291.9152192,4.0898261417301,4.2964256066216,233935000,1118.0820265099,0.058496386894596,1.9519173914591e+18,152807.88208951,7266099.7973087
99.552197819334,665.25831045204,886.11033051792,1118.0916308917,886.10195189185,1118.0894059131,673.45955445404,1.1984882199606e-10,7076124.855696,4.2964256066216,4.5134615393272,233935000,1118.0816448685,0.058023466566377,1.9519173914591e+18,138199.11230699,7214323.968003
104.06565935866,665.53175117045,886.53253844696,1118.1985339598,886.52570910029,1118.1967226665,673.58212806878,1.1984882199606e-10,6961662.7046306,4.5134615393272,4.7414611428602,233935000,1118.1902854187,0.056944509416774,1.9519173914591e+18,124486.54551605,7086149.2501467
108.80712050152,665.53153981189,886.53131715765,1118.1981037064,886.52448885579,1118.196292455,673.58184369642,1.1984882199606e-10,6924921.9718126,4.7414611428602,4.9809782521387,233935000,1118.1898684518,0.05649905291618,1.9519173914591e+18,111869.26150626,7036791.2333189
113.78809875366,665.81424855634,886.98544739858,1118.3119433464,886.97995221557,1118.3104876868,673.71389441105,1.1984882199606e-10,6812174.8888717,4.9809782521387,5.2325946793086,233935000,1118.3051928192,0.055457714530053,1.9519173914591e+18,100125.26486923,6912300.1537409
119.02069343297,665.81401480582,886.98412007235,1118.3114758679,886.97862579844,1118.3100202453,673.71358591983,1.1984882199606e-10,6776121.5247438,5.2325946793086,5.4969216270263,233935000,1118.3047405862,0.055040798451347,1.9519173914591e+18,89415.972040984,6865537.4967848
124.51761506,665.95872412495,886.98164257073,1118.3103483022,886.97673622546,1118.3090491396,673.78339136045,1.1984882199606e-10,6739340.6536421,5.4969216270263,5.7746011731338,233935000,1118.3650430254,0.054628463597048,1.9519173914591e+18,79585.461668708,6818926.1153108
130.29221623313,666.1059107798,887.22144622988,1118.370031215,887.2170783841,1118.3688755834,673.85617478121,1.1984882199606e-10,6701886.6054952,5.7746011731338,6.0663078303333,233935000,1118.4276658925,0.054221022329345,1.9519173914591e+18,70612.918448508,6772499.5239437
136.35852406346,666.25556366498,887.47150964226,1118.432089634,887.46763336118,1118.4310647561,673.93205384101,1.1984882199606e-10,6663802.9442293,6.0663078303333,6.3727501846491,233935000,1118.4926947041,0.053818513707908,1.9519173914591e+18,62465.343281187,6726268.2875105
142.73127424811,666.40765186366,887.73223635529,1118.4966061812,887.72880652466,1118.4956999703,674.01114954735,1.1984882199606e-10,6625132.9971119,6.3727501846491,6.6946726166572,233935000,1118.5602171568,0.053420767605333,1.9519173914591e+18,55098.286826679,6680231.2839385
149.42594686477,666.56213803033,888.00404262412,1118.5636657174,888.00101655208,1118.5628667433,674.09358706205,1.1984882199606e-10,6585921.6467773,6.6946726166572,7.0328571096636,233935000,1118.6303239601,0.053027555326175,1.9519173914591e+18,48461.931612387,6634383.5783897
156.45880397443,666.71897915234,888.28736108748,1118.6333557783,888.28469879974,1118.6326533457,674.17949446045,1.1984882199606e-10,6546215.5031275,7.0328571096636,7.3881251492239,233935000,1118.7031077538,0.052638638316904,1.9519173914591e+18,42504.85778003,6588720.3609076
163.84692912366,666.87812155347,888.58263729643,1118.7057657283,888.58030162484,1118.7051499007,674.26900462469,1.1984882199606e-10,6506062.738663,7.3881251492239,7.7613397186177,233935000,1118.7786646808,0.052253779321758,1.9519173914591e+18,37174.99831757,6543237.7369806
171.60826884227,667.03949270897,888.89033680441,1118.7809883979,888.88829342358,1118.7804500057,674.36225323267,1.1984882199606e-10,6465512.8248137,7.7613397186177,8.1534073951252,233935000,1118.8570926382,0.051872752673837,1.9519173914591e+18,32420.635468268,6497933.4602819
179.7616762374,667.20305327749,889.21093883541,1118.8591183937,889.20915624502,1118.8586490293,674.45937793459,1.1984882199606e-10,6424616.1951031,8.1534073951252,8.5652805521985,233935000,1118.9384906004,0.051495352700134,1.9519173914591e+18,28191.274071258,6452807.4691744
188.3269567896,667.3687975226,889.54493400582,1118.9402514784,889.54338346451,1118.9398434783,674.56052224541,1.1984882199606e-10,6383423.8323412,8.5652805521985,8.9979596728766,233935000,1119.0229618599,0.051121399984663,1.9519173914591e+18,24438.387629,6407862.2199702
197.32491646247,667.5367358529,889.89283832163,1119.0244878603,889.89149374055,1119.0241342754,674.66583185778,1.1984882199606e-10,6341986.7755477,8.9979596728766,9.4524957800631,233935000,1119.1106109072,0.050750745317907,1.9519173914591e+18,21116.029967009,6363102.8055147
